"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lysinibacillus.NA" 395 197 141 378 519 580 101 173 128 130 114 211 378 165 443 57 109 97
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerosphaera.NA" 21 21 36 28 24 28 10 9 16 31 14 23 33 7 12 3 10 4
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelothrix.NA" 99 187 108 263 114 152 90 99 132 108 127 183 526 146 35 21 147 83
"Bacteria.Firmicutes.Tissierellia.NA.NA.Sedimentibacter.NA" 441 344 210 469 636 683 292 215 252 1115 179 384 1009 256 509 85 192 131
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Brevibacillus.NA" 168 135 141 191 328 210 87 160 143 125 89 149 292 96 95 36 127 51
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Caloramator.NA" 212 198 96 203 95 201 178 96 126 206 65 174 301 70 224 37 106 95
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Murdochiella.NA" 481 520 224 134 205 143 58 48 42 35 119 227 324 109 364 5 88 31
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Peptoclostridium.NA" 4 9 0 7 3 6 6 5 3 5 2 4 8 4 7 1 2 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus.NA" 162 154 63 158 324 94 132 125 75 90 109 187 253 67 109 8 101 161
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halanaerobiaceae.Halanaerobium.NA" 261 209 151 409 449 218 120 296 194 527 201 326 511 133 199 34 286 188
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Gracilibacillus.NA" 171 72 55 232 133 105 87 37 61 86 56 126 203 54 40 18 17 36
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Oceanobacillus.NA" 158 76 109 244 262 103 92 60 87 138 54 95 186 103 60 47 98 71
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.Pelosinus.NA" 132 238 120 121 319 394 88 119 83 65 68 123 173 69 294 54 63 54
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.Caldicellulosiruptor.NA" 254 400 205 330 245 395 141 178 317 350 149 281 511 134 430 43 132 93
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Geosporobacter.NA" 60 90 41 88 49 140 47 29 63 52 19 66 88 26 69 2 53 22
"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.Alicyclobacillus.NA" 173 51 83 203 228 119 146 128 204 136 57 130 250 90 57 53 125 96
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Trichococcus.NA" 131 219 81 217 192 121 49 83 67 398 82 198 415 75 66 14 43 32
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Halobacillus.NA" 47 88 22 92 79 52 54 68 57 79 96 45 215 47 49 17 104 29
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella.NA" 183 375 98 400 143 238 147 657 231 163 319 196 305 121 94 180 115 133
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.Propionispora.NA" 125 247 39 77 235 304 43 37 63 275 41 94 237 74 269 27 46 28
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium.NA" 102 44 23 190 115 455 78 68 74 49 63 87 183 57 42 39 48 69
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.Thermoanaerobacterium.NA" 178 229 61 164 88 716 43 59 53 136 132 141 296 46 255 19 38 19
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.Propionispira.NA" 170 952 78 236 991 1360 96 109 83 157 117 108 235 122 932 75 107 54
"Bacteria.Firmicutes.Tissierellia.NA.NA.Kallipyga.NA" 91 25 102 177 80 33 49 73 85 80 77 89 101 87 166 2 32 13
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.Sporanaerobacter.NA" 72 102 50 72 56 90 61 31 46 94 69 103 120 35 104 9 25 12
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Terrisporobacter.NA" 29 27 14 59 35 16 22 33 18 23 17 25 37 41 23 4 21 15
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Moorella.NA" 174 121 78 238 142 78 123 124 142 123 93 140 267 76 71 79 118 102
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Turicibacter.NA" 260 581 244 470 219 204 152 135 198 385 1153 255 1990 201 526 48 115 132
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfallas.NA" 28 36 10 52 66 50 17 21 88 22 20 46 53 15 34 7 29 58
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Aneurinibacillus.NA" 114 93 20 134 99 102 34 43 36 123 35 60 181 39 53 29 64 23
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Gottschalkiaceae.Gottschalkia.NA" 6 0 0 2 1 1 1 0 2 5 2 2 18 1 2 0 2 0
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Tepidanaerobacter.NA" 27 21 13 20 16 30 20 6 16 16 10 17 39 10 8 4 18 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.NA" 75 61 25 165 93 43 31 48 89 94 45 55 148 50 35 17 34 32
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfitibacter.NA" 18 12 2 37 16 11 20 8 16 12 4 5 14 20 14 10 23 13
"Bacteria.Firmicutes.Clostridia.Clostridiales.Caldicoprobacteraceae.Caldicoprobacter.NA" 327 274 243 363 478 701 239 155 279 417 120 233 485 170 273 32 130 76
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Caldanaerobius.NA" 54 32 23 122 36 34 17 43 16 37 16 28 84 19 28 3 146 40
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Acetoanaerobium.NA" 128 161 64 213 111 160 118 81 130 167 73 132 282 86 195 34 77 58
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Candidatus Arthromitus.NA" 240 140 235 383 214 214 34 47 20 122 137 161 269 34 502 5 52 21
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Aerococcus.NA" 167 320 76 187 100 367 88 469 130 107 99 248 243 92 142 37 156 124
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Finegoldia.NA" 116 460 76 192 108 115 75 63 176 128 49 244 181 68 85 18 95 374
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.Anaerosalibacter.NA" 12 18 6 57 12 13 6 7 11 5 8 16 29 9 13 1 28 6
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Jeotgalibaca.NA" 56 57 21 101 61 59 14 92 17 54 34 37 70 20 66 2 12 17
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halobacteroidaceae.Orenia.NA" 3 7 4 16 4 5 5 4 8 3 3 8 15 13 4 0 8 6
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Facklamia.NA" 110 126 124 265 620 143 42 401 184 689 427 148 1474 264 71 10 64 57
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Saccharibacillus.NA" 86 87 74 73 146 117 75 32 52 44 67 79 119 49 56 18 47 33
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Tepidibacter.NA" 30 45 13 36 59 29 24 15 28 35 17 88 116 18 49 10 13 17
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Paucisalibacillus.NA" 3 1 0 1 0 1 1 4 8 1 0 4 7 2 0 0 1 0
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Parvimonas.NA" 77 67 32 107 97 76 47 146 43 37 53 106 184 39 33 19 67 44
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Tetragenococcus.NA" 51 13 42 31 20 26 10 11 18 33 48 61 64 28 89 23 11 9
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Alkalibacterium.NA" 102 48 99 46 46 50 13 13 18 6 17 15 81 86 212 5 12 7
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Amphibacillus.NA" 22 4 2 42 18 4 10 16 8 6 3 6 10 3 3 8 0 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Tepidibacillus.NA" 96 111 10 42 110 65 26 54 41 29 25 74 92 35 54 38 26 38
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVI. Incertae Sedis.Carboxydocella.NA" 142 95 60 239 115 84 131 265 210 182 62 107 307 112 96 106 124 144
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Sporosarcina.NA" 74 53 27 96 100 61 32 66 140 79 37 64 170 38 30 19 24 38
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Helcococcus.NA" 25 10 10 21 48 8 5 85 21 10 18 28 39 13 28 1 7 13
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anaerobacillus.NA" 24 53 5 22 16 33 36 31 15 14 14 15 38 11 32 17 18 8
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Alkalicoccus.NA" 2 5 9 11 55 4 1 4 12 11 6 6 18 10 7 0 9 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Planococcus.NA" 25 25 15 40 32 21 14 5 39 37 24 25 42 21 26 0 29 12
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.NA" 142 58 65 143 156 115 48 157 159 644 56 98 444 107 109 20 68 130
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Natronincola.NA" 3 0 0 1 5 4 3 0 0 0 0 2 0 1 4 0 5 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Halolactibacillus.NA" 66 123 54 71 150 55 19 26 148 43 33 119 103 31 121 22 20 20
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Gemella.NA" 61 62 71 154 96 23 64 42 69 73 49 64 107 50 42 31 40 146
"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.Tumebacillus.NA" 91 57 38 90 20 70 28 34 29 18 54 121 106 41 35 23 34 11
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfofarcimen.NA" 5 5 2 8 3 1 2 1 1 1 0 1 6 3 3 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Parageobacillus.NA" 6 4 8 41 5 2 2 1 3 1 1 2 18 3 11 0 19 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Proteiniborus.NA" 9 9 4 11 1 13 8 6 28 5 10 12 20 5 14 2 41 24
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Globicatella.NA" 35 13 33 40 29 50 74 40 13 24 29 20 73 31 37 14 25 19
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Tindallia.NA" 73 43 20 67 35 36 66 81 68 50 19 69 109 33 39 57 44 42
"Bacteria.Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae.Heliorestis.NA" 21 16 6 22 30 4 15 150 15 31 8 20 26 7 12 23 35 37
"Bacteria.Firmicutes.Clostridia.Clostridiales.Proteinivoraceae.Anaerobranca.NA" 64 44 24 51 23 69 37 25 62 49 21 32 52 21 74 11 19 29
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.Soehngenia.NA" 50 10 16 65 57 16 46 27 29 15 17 25 100 28 25 12 28 16
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Weissella.NA" 27 65 8 40 60 56 21 15 22 19 18 36 105 13 51 1 33 15
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Paraclostridium.NA" 61 261 29 162 117 17 7 26 138 36 96 207 66 69 20 6 12 75
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Thermoanaerobacter.NA" 128 202 96 258 100 313 114 56 99 120 52 126 211 72 170 26 72 24
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Pediococcus.NA" 27 21 15 20 17 23 6 25 10 31 19 22 58 22 17 2 17 16
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Terrilactibacillus.NA" 15 27 4 33 22 29 17 15 6 45 14 12 37 7 42 2 7 6
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc.NA" 157 16 36 51 23 22 11 14 4 21 32 27 141 45 72 6 11 12
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Domibacillus.NA" 7 13 8 25 19 32 7 25 9 8 28 9 65 4 11 1 2 1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Desulfofundulus.NA" 89 97 34 132 83 91 62 68 101 61 41 90 179 77 68 30 71 59
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Caloranaerobacter.NA" 68 133 50 99 86 167 111 66 104 136 52 56 152 30 187 23 51 42
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Marinilactibacillus.NA" 36 34 17 56 19 8 35 3 33 18 4 53 35 17 18 47 36 19
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Psychrobacillus.NA" 14 13 0 3 2 10 0 0 0 29 10 2 16 0 6 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Rummeliibacillus.NA" 66 62 35 47 39 20 22 6 40 9 36 55 74 16 32 9 15 17
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Desulfuribacillus.NA" 7 7 2 7 14 4 0 0 8 1 3 4 8 2 5 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Ureibacillus.NA" 31 6 6 90 17 7 12 54 22 10 14 27 45 11 16 26 7 27
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Paraliobacillus.NA" 12 12 5 38 19 12 19 32 11 37 37 20 37 24 8 1 21 4
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Paenisporosarcina.NA" 9 45 1 1 6 12 4 0 0 2 7 41 29 1 0 2 2 5
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacterales Family III. Incertae Sedis.Thermosediminibacter.NA" 38 21 5 17 218 25 19 25 35 42 10 18 45 13 12 14 14 12
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Fructobacillus.NA" 7 5 29 32 5 8 2 6 9 7 12 8 31 19 9 0 3 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Thermobacillus.NA" 16 7 3 12 6 4 2 6 10 1 8 7 18 9 4 0 5 2
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Thermincola.NA" 124 100 65 129 115 91 101 175 116 490 36 108 368 50 116 93 79 91
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus.NA" 70 134 32 69 107 88 39 77 179 73 57 84 131 34 78 12 55 157
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Jeotgalibacillus.NA" 32 4 5 6 5 28 5 0 9 3 17 18 51 0 2 1 4 9
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Planomicrobium.NA" 5 24 8 4 28 25 5 2 54 5 2 1 12 69 1 0 1 27
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Fictibacillus.NA" 20 178 16 54 11 14 4 3 5 28 15 93 61 19 19 0 16 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Salinicoccus.NA" 35 22 13 76 38 34 46 31 90 15 27 28 58 34 23 16 19 48
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Ammoniphilus.NA" 15 24 37 12 5 5 11 3 6 1 5 21 58 27 79 1 25 9
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Haloimpatiens.NA" 25 8 1 24 30 2 2 0 1 7 3 3 19 9 15 0 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Kurthia.NA" 51 46 11 63 55 38 34 28 50 32 17 46 103 30 7 2 45 21
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lentibacillus.NA" 15 8 4 19 10 7 1 2 7 5 7 14 28 1 2 0 6 1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVII. Incertae Sedis.Sulfobacillus.NA" 16 21 6 20 38 20 28 37 38 17 2 13 36 17 13 22 24 14
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Planifilum.NA" 24 20 12 31 11 31 22 12 17 12 11 34 40 6 27 4 4 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Macrococcus.NA" 38 36 20 22 62 139 29 68 43 29 27 37 55 27 11 2 29 20
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Salipaludibacillus.NA" 11 0 1 19 6 0 0 1 0 271 0 7 155 1 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Thermoactinomyces.NA" 46 29 17 42 30 51 17 163 43 55 45 16 60 28 20 24 42 27
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Oenococcus.NA" 6 13 18 68 17 8 13 5 9 12 16 18 35 17 1 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Cerasibacillus.NA" 1 0 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Atopobacter.NA" 10 0 1 0 0 5 0 0 0 0 0 3 0 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Carboxydothermus.NA" 65 35 36 75 42 57 46 57 41 32 41 58 88 21 45 15 32 21
"Bacteria.Firmicutes.Tissierellia.NA.NA.Ezakiella.NA" 62 41 38 59 94 46 44 20 104 92 33 30 109 19 31 11 23 67
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Pontibacillus.NA" 9 5 18 7 11 8 9 8 11 29 20 12 11 1 1 2 5 4
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Acidibacillus.NA" 2 3 0 2 2 4 2 1 3 0 2 0 4 1 2 0 1 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Bhargavaea.NA" 56 9 4 13 16 33 101 2 10 24 6 20 48 16 95 1 10 5
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.Ammonifex.NA" 26 45 45 19 62 13 66 39 17 15 13 42 74 11 15 4 4 7
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Caryophanon.NA" 9 1 3 10 40 0 6 45 13 3 3 22 10 2 13 1 6 12
"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.Kyrpidia.NA" 49 64 10 92 197 28 17 118 101 23 69 76 131 51 35 2 11 38
"Bacteria.Firmicutes.Bacilli.Bacillales.Alicyclobacillaceae.Effusibacillus.NA" 4 2 1 3 0 4 1 13 2 1 1 3 8 0 1 1 3 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Sediminibacillus.NA" 1 7 3 1 2 8 1 3 2 2 3 2 3 1 7 4 0 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Thermoflavimicrobium.NA" 16 0 0 2 4 2 0 0 1 0 1 15 6 2 0 0 0 4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XVII. Incertae Sedis.Thermaerobacter.NA" 30 17 3 30 30 17 18 12 17 9 9 18 37 17 17 3 16 6
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Salibacterium.NA" 14 11 0 13 3 4 10 15 19 1 7 2 28 5 22 3 19 11
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Terribacillus.NA" 22 6 10 102 42 10 19 28 21 14 45 39 55 15 15 2 13 7
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Shimazuella.NA" 3 9 0 3 4 2 1 4 2 2 7 12 15 1 1 3 2 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Marinococcus.NA" 39 43 13 19 12 7 15 5 10 7 3 33 17 9 6 0 15 6
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Thalassobacillus.NA" 18 13 39 17 4 14 10 5 18 11 21 22 29 28 82 1 17 7
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Chengkuizengella.NA" 13 12 5 16 9 9 4 12 8 16 10 11 25 14 5 15 10 7
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.Halobacteroidaceae.Candidatus Frackibacter.NA" 44 60 16 91 227 53 29 37 43 76 37 29 97 30 69 14 44 22
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Solibacillus.NA" 25 11 9 85 23 17 41 6 62 156 37 17 129 19 8 4 6 35
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Salsuginibacillus.NA" 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Jeotgalicoccus.NA" 28 3 6 94 21 215 7 5 8 5 5 42 244 10 3 13 10 10
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Geomicrobium.NA" 28 13 23 73 37 30 23 66 56 8 36 29 57 28 33 6 23 36
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Marininema.NA" 7 1 10 1 1 10 3 0 2 0 5 0 6 1 0 0 0 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Salimicrobium.NA" 18 28 7 34 24 16 11 7 65 4 15 40 26 19 8 0 16 32
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Alteribacillus.NA" 8 3 2 10 11 4 1 0 10 0 3 5 22 15 2 1 1 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Viridibacillus.NA" 8 23 0 28 13 14 5 3 5 10 6 3 41 4 18 1 8 5
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermodesulfobiaceae.Thermodesulfobium.NA" 4 20 2 4 3 20 7 10 8 0 2 20 7 9 28 4 10 11
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Salicibibacter.NA" 4 2 1 3 0 4 0 3 4 5 3 5 8 3 7 1 6 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Floricoccus.NA" 10 21 21 17 36 8 2 8 21 10 12 26 41 10 8 1 19 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Allobacillus.NA" 5 3 2 10 4 4 2 2 5 5 4 2 21 2 9 2 1 9
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Metalysinibacillus.NA" 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Laceyella.NA" 1 15 2 4 4 3 5 3 14 3 4 5 21 4 3 4 17 4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium" 614936 574451 236986 261716 267609 582784 57884 50185 64467 302820 214362 362395 679049 223191 588829 12130 27221 25575
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium A4" 395394 52492 31997 36185 489060 4206786 3297 3541 4355 57250 38964 93966 128828 213597 347501 1240 2436 2729
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium 10-1" 253009 419256 118449 66049 20494 62492 8062 6880 3376 30489 62315 187321 183296 85295 323240 1044 4303 2921
"Bacteria.Firmicutes.NA.NA.NA.NA.Firmicutes bacterium CAG:534" 203093 454744 79456 62842 10017 20977 5494 3628 1384 29442 33074 199270 127844 54003 202318 226 2651 1788
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.NA.Clostridiaceae bacterium" 163172 60022 39583 65561 122226 194099 28868 33987 32187 77273 56810 86690 171225 45002 82718 11801 33196 21015
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.Eubacterium plexicaudatum" 142238 66373 19425 30327 149495 161226 3774 3719 3274 43242 19516 29024 70070 25578 43965 1324 2194 2916
"Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.Oscillibacter sp. 1-3" 133317 42312 59594 47686 119681 164155 55359 86524 38511 77596 31169 130612 120575 23231 37108 7665 55906 25298
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor sp. 60" 129923 58235 29879 62638 104813 132098 60746 47222 33918 28528 31232 121669 112986 31275 36749 8290 58268 16508
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.NA.Clostridiales bacterium" 129824 88948 62521 133498 200234 96710 78611 67867 104782 128417 67779 103001 177722 64328 58841 20542 57634 32920
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium MD335" 123575 55604 25266 37819 131925 606071 2698 2749 2821 33239 43686 62344 121259 62720 107670 837 1815 1961
"Bacteria.Firmicutes.NA.NA.NA.NA.Firmicutes bacterium ASF500" 104614 47073 29598 56534 84857 114855 57379 43629 29769 33078 28582 107555 99467 32831 38752 6745 55549 12914
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.Colidextribacter.Colidextribacter sp. OB.20" 100354 53339 35289 64348 85728 120787 56518 51138 25921 23656 29628 108388 94373 29718 39125 6861 46388 11663
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Acetatifactor.Acetatifactor muris" 75978 56819 36130 59915 58745 77797 5308 6306 7880 557809 40593 39715 353586 26254 72304 1582 3333 4251
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Kineothrix.Kineothrix alysoides" 58919 50479 24836 27967 11558 18835 2328 1865 1689 30869 31558 21810 68663 16800 61033 266 1176 853
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.Roseburia sp. 1XD42-69" 53364 32404 15181 25116 29136 83877 2787 2714 3474 20402 22234 126544 112789 10698 40065 926 1881 2371
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.uncultured Clostridium sp." 51495 31728 18464 21932 23522 16903 6965 8041 6159 17877 14372 18713 49317 16720 39946 4029 5006 4982
