"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Paraliobacillus*NA",38,19,12,37,24,8
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Thermosediminibacter*NA",17,218,25,45,13,12
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Fructobacillus*NA",32,5,8,31,19,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Thermobacillus*NA",12,6,4,18,9,4
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Thermincola*NA",129,115,91,368,50,116
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Anoxybacillus*NA",69,107,88,131,34,78
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Planomicrobium*NA",4,28,25,12,69,1
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Fictibacillus*NA",54,11,14,61,19,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Salinicoccus*NA",76,38,34,58,34,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Ammoniphilus*NA",12,5,5,58,27,79
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Haloimpatiens*NA",24,30,2,19,9,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Kurthia*NA",63,55,38,103,30,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Lentibacillus*NA",19,10,7,28,1,2
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XVII. Incertae Sedis*Sulfobacillus*NA",20,38,20,36,17,13
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Planifilum*NA",31,11,31,40,6,27
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Macrococcus*NA",22,62,139,55,27,11
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Thermoactinomyces*NA",42,30,51,60,28,20
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Oenococcus*NA",68,17,8,35,17,1
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Carboxydothermus*NA",75,42,57,88,21,45
"Bacteria*Firmicutes*Tissierellia*NA*NA*Ezakiella*NA",59,94,46,109,19,31
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Pontibacillus*NA",7,11,8,11,1,1
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Acidibacillus*NA",2,2,4,4,1,2
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Bhargavaea*NA",13,16,33,48,16,95
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Ammonifex*NA",19,62,13,74,11,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Kyrpidia*NA",92,197,28,131,51,35
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Sediminibacillus*NA",1,2,8,3,1,7
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XVII. Incertae Sedis*Thermaerobacter*NA",30,30,17,37,17,17
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Salibacterium*NA",13,3,4,28,5,22
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Terribacillus*NA",102,42,10,55,15,15
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Shimazuella*NA",3,4,2,15,1,1
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Marinococcus*NA",19,12,7,17,9,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Thalassobacillus*NA",17,4,14,29,28,82
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Chengkuizengella*NA",16,9,9,25,14,5
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*Candidatus Frackibacter*NA",91,227,53,97,30,69
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Solibacillus*NA",85,23,17,129,19,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Jeotgalicoccus*NA",94,21,215,244,10,3
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Geomicrobium*NA",73,37,30,57,28,33
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Salimicrobium*NA",34,24,16,26,19,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Alteribacillus*NA",10,11,4,22,15,2
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Viridibacillus*NA",28,13,14,41,4,18
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermodesulfobiaceae*Thermodesulfobium*NA",4,3,20,7,9,28
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Floricoccus*NA",17,36,8,41,10,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Allobacillus*NA",10,4,4,21,2,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Laceyella*NA",4,4,3,21,4,3
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium",261716,267609,582784,679049,223191,588829
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium A4",36185,489060,4206786,128828,213597,347501
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium 10-1",66049,20494,62492,183296,85295,323240
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:534",62842,10017,20977,127844,54003,202318
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*NA*Clostridiaceae bacterium",65561,122226,194099,171225,45002,82718
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium plexicaudatum",30327,149495,161226,70070,25578,43965
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. 1-3",47686,119681,164155,120575,23231,37108
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. 60",62638,104813,132098,112986,31275,36749
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*Clostridiales bacterium",133498,200234,96710,177722,64328,58841
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium MD335",37819,131925,606071,121259,62720,107670
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium ASF500",56534,84857,114855,99467,32831,38752
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Colidextribacter*Colidextribacter sp. OB.20",64348,85728,120787,94373,29718,39125
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Acetatifactor*Acetatifactor muris",59915,58745,77797,353586,26254,72304
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Kineothrix*Kineothrix alysoides",27967,11558,18835,68663,16800,61033
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. 1XD42-69",25116,29136,83877,112789,10698,40065
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*uncultured Clostridium sp.",21932,23522,16903,49317,16720,39946
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. 524-17",14783,31068,41802,45057,9843,9626
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus albus",17941,397185,17097,32214,3453,4712
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:95",12887,4156,8544,36015,13896,52946
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. AF19-9AC",17574,34745,36066,31007,17786,9381
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*Flavonifractor sp. An100",17794,36507,38193,33687,18375,10113
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium MD308",24002,28454,85725,101344,17706,31256
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium WCA-9-b2",20306,42880,44986,52001,11057,17827
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Schaedlerella*Schaedlerella arabinosiphila",16812,30237,23641,35214,13096,18330
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Dorea*Dorea sp. 5-2",17525,23904,27886,55594,10800,22687
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium 3-1",19460,21896,50539,49342,11433,30397
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. PC13",19623,39626,51678,36469,9731,14598
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus animalis",44686,18365,10998,118579,10708,37720
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium A2",15065,17666,68096,45904,9064,28982
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. 1XD8-22",8744,26074,27054,22970,3718,5450
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. Marseille-P3106",14316,15176,21266,53452,17453,13096
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium",37104,18795,13251,60703,14707,11570
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. CAG:155",15348,32235,45270,30832,7287,12005
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Enterocloster*Enterocloster clostridioformis",19931,35087,30721,51494,21915,19245
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Acutalibacter*Acutalibacter sp. 1XD8-33",7694,12986,21809,26946,5200,5293
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*Flavonifractor plautii",11289,21047,22023,29140,13984,7241
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. CAG:510",16791,9503,16007,62019,7581,28831
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia hominis",11475,83396,11701,42873,5131,11917
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Marvinbryantia*Marvinbryantia formatexigens",178530,144897,18241,36711,27958,37496
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. An184",11065,21517,23306,22584,10817,5990
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Hungatella*Hungatella hathewayi",21010,30817,25908,38901,23573,32844
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Clostridioides*Clostridioides difficile",16837,22162,12840,57649,12966,10726
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*[Ruminococcus] gnavus",13665,13986,16698,28487,12760,22023
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. 14-2",12951,14519,21401,31237,6800,18837
"Bacteria*Firmicutes*Clostridia*NA*NA*NA*Clostridia bacterium",22198,21407,16178,29129,8516,7410
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus flavefaciens",26184,62524,21892,43030,5785,12142
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Acutalibacter*Acutalibacter muris",6843,10778,23491,20368,4886,3845
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Anaerotruncus*Anaerotruncus colihominis",11432,21294,21282,22720,5542,8279
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Eisenbergiella*Eisenbergiella sp. OF01-20",12094,19607,8315,24326,7651,16185
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter valericigenes",7769,19233,27006,19176,3681,6951
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium 28-4",2648,5983,8668,33477,4317,10058
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Intestinimonas*Intestinimonas timonensis",12265,16674,12499,34182,10131,5181
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. 499",10606,8269,11412,25027,4505,12680
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Faecalibacterium*Faecalibacterium prausnitzii",27383,21501,17453,24417,10103,9880
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus murinus",28160,9465,6748,69187,6504,21641
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. 57_20",8600,19744,26683,18454,4222,7046
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter ruminantium",7219,17873,28193,19066,3392,7275
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*NA*Ruminococcaceae bacterium",25224,23024,13786,31325,12014,10966
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium MD329",36154,3766,3783,33788,6392,4003
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Frisingicoccus*Frisingicoccus caecimuris",26271,33495,5149,23799,17798,34208
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. 1xD21-23",6799,10379,43118,17347,5366,11756
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:110",82020,7125,19864,53162,3818,1655
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium M18-1",4795,11413,11598,14243,4410,8620
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Neglecta*Neglecta timonensis",5303,4284,15379,29653,8374,2020
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. Marseille-P6503",10750,120521,7214,12436,1061,1827
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*Flavonifractor sp. An10",5958,10540,11962,17383,5902,4061
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Murimonas*Murimonas intestini",16008,17550,9213,21413,8638,11486
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*Flavonifractor sp. An306",4435,8112,11416,14481,4237,3389
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia inulinivorans",10333,10027,8318,25433,5598,17404
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoclostridium*Lachnoclostridium sp. An196",30272,21072,11537,37018,7205,12646
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*Clostridiales bacterium NK3B98",6258,9894,10907,14219,3899,3248
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Neglecta*Neglecta sp. 524-5",4897,12448,17788,14984,3178,2658
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. An81",12464,14250,2407,17276,4692,7786
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium G11",8571,5883,9387,25095,3405,11588
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia intestinalis",6296,9217,7334,22042,3530,11154
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Anaerotruncus*Anaerotruncus sp. G3(2012)",3699,6834,13294,10081,1969,2145
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia schinkii",34857,85525,7421,21471,51045,16164
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnotalea*Lachnotalea sp. AF33-28",11353,15844,6961,18591,5424,10993
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor capillosus",7199,10335,10369,15828,4829,3757
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Acetivibrio*Acetivibrio ethanolgignens",10200,10869,25085,27195,5920,15838
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Eisenbergiella*Eisenbergiella tayi",6539,13874,4897,19353,5461,14003
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium XBB2008",8267,4389,8570,20280,3201,12732
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Intestinimonas*Intestinimonas massiliensis",5087,8568,12405,15308,4785,3250
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*[Eubacterium] rectale",11705,9917,18807,28608,3646,13234
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Subdoligranulum*Subdoligranulum variabile",10220,10268,6813,14969,3817,4756
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:129",4040,8152,10375,9785,2521,2476
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. CAG:309",19176,4942,8730,22703,3593,8807
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. TF10-5",4723,5323,3647,13886,2146,3362
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. SN20",5437,8698,9309,14168,5285,3122
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. 831b",8784,10449,10615,19729,2752,5947
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia obeum",12814,15649,9996,17991,10090,15868
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia producta",8887,11745,6169,12603,6277,11427
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*uncultured Clostridiales bacterium",4698,7996,8130,16342,5785,3410
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*Clostridiales bacterium CHKCI001",8847,11233,9618,13588,4565,9573
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. chh4-2",11406,14663,8933,14927,9595,15493
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Dorea*Dorea formicigenerans",4566,6188,3791,16562,4054,5815
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium transplantifaecale",6534,6585,8589,11936,3653,4605
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. CAG:167",80769,10932,4697,22382,25628,54214
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Enterocloster*Enterocloster bolteae",8811,6900,5352,13909,4050,8569
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:882",6334,9993,18485,19589,2921,6960
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. CAG:115",149907,7346,3589,217993,1917,2686
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*Clostridiales bacterium Marseille-P2846",8550,9840,4631,10952,5066,4693
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:137",15537,4359,7199,16398,4232,1842
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. An249",13354,18406,8507,18310,10519,9973
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*Butyrivibrio fibrisolvens",5188,6939,8790,26878,3145,10222
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium KM106-2",5642,5164,4922,11224,2582,7875
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. CAG:1013",3910,3336,9974,17651,4594,1567
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Extibacter*Extibacter muris",4367,5035,3368,10856,3943,8887
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoclostridium*Lachnoclostridium sp. An14",7884,10083,7791,13575,6079,7433
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:170",6017,5527,7724,13359,2734,1619
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:124",7118,7889,6837,12820,3209,1592
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium NC2004",3174,8583,5044,7231,1203,3337
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Angelakisella*Angelakisella massiliensis",4721,6004,6643,9757,2411,3187
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Hespellia*Hespellia stercorisuis",7497,8198,5864,15042,4201,5650
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoclostridium*Lachnoclostridium sp. An169",10445,12938,8973,16517,5438,11161
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Pseudoflavonifractor*Pseudoflavonifractor sp. An85",4407,11669,6762,16851,3526,1912
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. CAG:786",116763,5828,2473,171089,1682,2043
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. CAG:253",13823,2550,8402,4963,929,8942
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Anaerotruncus*Anaerotruncus sp. X29",2508,4058,6087,9848,807,1444
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium CAG:94",2842,3111,8995,18114,3702,1539
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium ventriosum",12583,9787,9395,32693,5931,6222
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Roseburia*Roseburia sp. MUC/MUC-530-WT-4D",5867,6400,5974,10791,1913,5462
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*Butyrivibrio proteoclasticus",4323,5549,5103,11896,2646,8056
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium YSD2013",6259,4035,6221,14789,2270,6462
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. FC2018",4996,62931,4036,4455,545,814
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoclostridium*Lachnoclostridium sp. An131",7817,6437,4827,13495,2829,4747
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*uncultured Ruminococcus sp.",7680,19081,7029,13275,3741,5363
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Anaerobium*Anaerobium acetethylicum",6884,6897,5297,11816,3295,6822
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Cuneatibacter*Cuneatibacter caecimuris",7596,14235,4715,12701,3893,6960
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium V9D3004",7109,2970,5408,12464,1846,4944
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Bariatricus*Bariatricus massiliensis",10265,6457,4888,11471,4270,7501
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus lactaris",5138,4915,4034,10078,2405,7205
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Intestinimonas*Intestinimonas butyriciproducens",4299,7052,7611,10293,3706,3171
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. AT4",4805,7472,5424,11180,5503,5076
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus faecium",10139,13589,2640,13665,6119,5398
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*Monoglobus*Monoglobus pectinilyticus",826,439,905,9729,229,747
